user_id,session_date,page_views,dwell_time_secs,device_category,purchase_value,recency,conversion_flag,engagement_score,high_value_customer,purchase_prediction
USR_1001,2026-06-01 00:00:00,5.0,180.0,Desktop,1250.0,2,1,3.8,0,1
USR_1002,2026-01-06 00:00:00,2.0,45.0,Mobile,0.0,148,0,1.25,0,0
USR_1003,2026-06-01 00:00:00,4.5,320.0,Mobile,0.0,2,0,5.0,0,0
USR_1004,2026-06-02 00:00:00,12.0,850.0,Desktop,4200.0,1,1,13.3,1,1
USR_1005,2026-06-02 00:00:00,1.0,195.0,Tablet,0.0,1,0,2.35,0,0
USR_1002,2026-02-06 00:00:00,8.0,410.0,Mobile,0.0,117,0,7.3,0,1
USR_1006,2026-06-02 00:00:00,3.0,195.0,Desktop,0.0,1,0,3.15,0,0
USR_1007,2026-05-31 00:00:00,15.0,1200.0,Desktop,9800.0,3,1,18.0,1,1
USR_1003,2026-06-02 00:00:00,7.0,195.0,Mobile,150.0,1,1,4.75,0,1
USR_1008,2026-06-02 00:00:00,2.0,90.0,Mobile,0.0,1,0,1.7,0,0
USR_1009,2026-06-03 00:00:00,4.0,210.0,Mobile,0.0,0,0,3.7,0,0
USR_1010,2026-06-03 00:00:00,22.0,2400.0,Desktop,15400.0,0,1,32.8,1,1
USR_1005,2026-06-03 00:00:00,2.0,85.0,Tablet,0.0,0,0,1.65,0,0
USR_1006,2026-06-03 00:00:00,5.0,190.0,Desktop,0.0,0,0,3.9,0,1
USR_1011,2026-03-06 00:00:00,1.0,15.0,Mobile,0.0,89,0,0.55,0,0
